DOY_365,Tmin_C,Tmax_C,Tavg_C,PRCP_mm
1.0,2.490909090909091,10.263636363636364,6.640909090909091,2.890909090909091
2.0,1.7909090909090908,9.9,5.636363636363637,1.1090909090909091
3.0,1.6272727272727272,9.218181818181819,5.422727272727273,6.736363636363635
4.0,0.5999999999999999,8.727272727272727,5.377272727272727,1.5
5.0,-0.7545454545454546,6.0181818181818185,3.05,0.16363636363636364
6.0,-0.8545454545454544,5.3090909090909095,2.272727272727273,4.690909090909091
7.0,-2.881818181818182,4.218181818181818,0.8954545454545454,1.2
8.0,-2.3636363636363638,4.627272727272727,0.440909090909091,0.7181818181818181
9.0,-0.8,7.790909090909091,2.618181818181818,7.036363636363637
10.0,-1.0545454545454545,7.790909090909091,3.5454545454545454,1.2909090909090908
11.0,-0.45454545454545453,8.799999999999999,3.7045454545454546,0.3727272727272727
12.0,2.6727272727272724,11.654545454545454,6.590909090909091,4.927272727272728
13.0,-0.14545454545454542,10.018181818181818,5.768181818181818,2.536363636363636
14.0,-0.9909090909090907,6.427272727272728,2.2818181818181817,0.7636363636363637
15.0,-1.5727272727272725,5.909090909090909,1.8454545454545455,1.8454545454545455
16.0,-1.918181818181818,7.7272727272727275,2.690909090909091,2.2545454545454544
17.0,-0.8181818181818182,5.509090909090909,2.4,1.0454545454545454
18.0,-0.9181818181818183,7.736363636363635,2.6409090909090907,2.0545454545454547
19.0,-0.5363636363636365,7.390909090909091,3.4863636363636363,2.8636363636363638
20.0,-2.7454545454545456,6.827272727272727,2.1999999999999997,1.1818181818181819
21.0,-2.963636363636364,3.972727272727273,0.25,0.18181818181818182
22.0,-2.1090909090909093,5.509090909090909,1.1590909090909087,2.0818181818181816
23.0,-0.9363636363636364,6.872727272727272,2.7181818181818183,5.745454545454546
24.0,-0.3181818181818181,8.036363636363637,3.872727272727273,3.563636363636364
25.0,0.5909090909090909,9.409090909090908,4.659090909090909,4.7727272727272725
26.0,1.009090909090909,10.263636363636364,5.495454545454545,0.7636363636363637
27.0,0.29090909090909084,9.081818181818182,4.75,0.509090909090909
28.0,0.7545454545454546,7.963636363636363,4.254545454545454,3.5545454545454547
29.0,0.25454545454545446,7.172727272727273,3.977272727272727,0.6545454545454544
30.0,-2.590909090909091,6.418181818181818,2.3636363636363638,0.16363636363636364
31.0,-1.7090909090909088,6.5181818181818185,1.6909090909090911,3.1
32.0,-0.3272727272727272,8.054545454545455,3.3318181818181816,1.0818181818181818
33.0,-0.9636363636363637,8.081818181818182,3.5727272727272723,0.4454545454545454
34.0,-0.4454545454545454,9.290909090909091,3.8909090909090907,2.309090909090909
35.0,0.6454545454545454,11.527272727272727,5.490909090909091,5.163636363636363
36.0,-0.11818181818181817,10.363636363636363,5.090909090909091,0.6727272727272727
37.0,-0.2909090909090909,9.190909090909091,4.222727272727273,3.8636363636363638
38.0,1.4090909090909092,11.063636363636364,5.922727272727273,3.3909090909090907
39.0,1.4545454545454546,11.654545454545454,6.222727272727273,0.14545454545454548
40.0,0.35454545454545455,10.1,5.3,0.9454545454545453
41.0,2.0,9.490909090909092,5.5227272727272725,4.263636363636364
42.0,2.1363636363636362,9.590909090909092,5.486363636363636,6.4
43.0,1.6454545454545455,7.9363636363636365,5.168181818181818,4.5181818181818185
44.0,-0.4545454545454547,7.3,3.5681818181818183,4.036363636363636
45.0,-1.9636363636363634,6.990909090909091,2.3318181818181816,0.1
46.0,0.1818181818181822,8.645454545454546,3.5681818181818183,3.4181818181818184
47.0,0.43636363636363645,10.763636363636364,5.904545454545455,5.190909090909091
48.0,-0.06363636363636353,8.945454545454545,4.181818181818182,3.5454545454545454
49.0,-1.4454545454545455,9.490909090909092,3.709090909090909,1.6727272727272726
50.0,-0.45454545454545436,8.1,3.6045454545454545,0.19090909090909092
51.0,0.10000000000000005,9.0,4.154545454545454,1.6818181818181819
52.0,1.1,12.081818181818182,5.663636363636364,1.8545454545454547
53.0,2.8636363636363638,12.372727272727273,7.331818181818182,1.5636363636363635
54.0,2.8181818181818183,14.345454545454544,8.227272727272727,1.5999999999999999
55.0,2.7454545454545456,13.954545454545455,7.818181818181818,5.9363636363636365
56.0,3.090909090909091,13.090909090909092,8.054545454545455,1.8
57.0,2.390909090909091,11.218181818181819,7.195454545454546,1.1545454545454545
58.0,1.8272727272727274,11.30909090909091,6.8090909090909095,1.2727272727272727
59.0,3.563636363636364,13.236363636363636,7.577272727272727,3.372727272727273
60.0,2.645454545454546,13.336363636363636,7.486363636363635,3.6818181818181817
61.0,2.4909090909090907,13.127272727272727,7.681818181818182,2.409090909090909
62.0,1.8545454545454545,11.163636363636364,6.581818181818182,2.2363636363636363
63.0,2.2545454545454544,12.281818181818181,7.2318181818181815,1.0909090909090908
64.0,1.5636363636363635,10.945454545454545,6.340909090909091,4.827272727272727
65.0,1.7999999999999998,10.863636363636363,5.990909090909091,1.1272727272727272
66.0,2.9454545454545453,14.554545454545455,7.995454545454546,0.33636363636363636
67.0,3.6,14.19090909090909,8.840909090909092,0.509090909090909
68.0,4.090909090909091,16.054545454545455,9.427272727272728,3.8181818181818183
69.0,5.209090909090909,15.609090909090908,10.013636363636364,2.6818181818181817
70.0,5.5636363636363635,16.254545454545454,10.850000000000001,0.0
71.0,4.2727272727272725,14.154545454545454,9.509090909090908,1.4545454545454546
72.0,3.9181818181818184,14.009090909090908,8.563636363636363,1.9909090909090907
73.0,4.363636363636363,14.0,8.981818181818182,4.1454545454545455
74.0,5.072727272727272,14.954545454545455,9.731818181818182,0.20909090909090908
